Contract_ID,Outstanding Amount_max,Outstanding Amount_mean,Outstanding Amount_last,Due Amount_max,Due Amount_mean,Number of Days Past Due_max,Number of Days Past Due_mean,Number of Days Past Due_count,Contract Status_<lambda>
CONT102758,36037.87,34022.1575,31929.45,0.0,0.0,0.0,0.0,12,Active
CONT102759,42431.54,41977.778333333335,41823.19,0.0,0.0,0.0,0.0,6,Active
CONT102760,103746.82,97684.43615384615,91221.88,0.0,0.0,0.0,0.0,13,Active
CONT102761,11162.23,9228.56909090909,7279.77,327.2,41.45590909090909,4.0,0.5454545454545454,22,Active
CONT102762,21649.33,18051.865185185186,12727.6,1151.93,286.9325925925926,57.0,13.62962962962963,27,Active
CONT102763,11051.86,7904.003333333333,4277.77,0.0,0.0,0.0,0.0,24,Active
CONT102764,80872.92,70515.57818181819,0.0,1897.7,605.2436363636364,4.0,1.9090909090909092,11,Closed
CONT102765,19713.58,16202.551666666666,0.0,769.71,64.1425,2.0,0.16666666666666666,12,Closed
CONT102766,47347.32,44801.752,41812.22,1781.88,236.80333333333334,32.0,2.3333333333333335,15,Active
CONT102767,13603.63,12549.455,11493.76,0.0,0.0,0.0,0.0,10,Active
CONT102768,11710.48,10894.637272727272,10217.49,0.0,0.0,0.0,0.0,11,Active
CONT102769,24366.8,23795.898571428574,22915.15,449.75,64.25,25.0,3.5714285714285716,7,Active
CONT102770,81612.52,77519.83363636363,73342.84,0.0,0.0,0.0,0.0,11,Active
CONT102771,37135.64,35270.45916666667,33304.85,0.0,0.0,0.0,0.0,12,Active
CONT102772,2595.92,1896.8873333333331,1676.08,1764.57,539.63,246.0,70.0,15,NonAccrual
CONT102773,62203.99,53094.135416666664,42657.56,0.0,0.0,0.0,0.0,24,Active
CONT102774,27342.93,24897.1975,22151.93,623.17,38.948125,19.0,1.1875,16,Active
CONT102775,19401.83,16571.463200000002,14948.39,4500.05,1085.6656,296.0,74.96,25,NonAccrual
CONT102776,3659.88,3189.1326315789474,2845.35,2150.57,914.2257894736842,342.0,133.31578947368422,19,NonAccrual
CONT102777,23556.6,21290.359375,18761.06,0.0,0.0,0.0,0.0,16,Active
CONT102778,23493.18,21644.454999999998,19641.88,0.0,0.0,0.0,0.0,14,Active
CONT102779,6729.61,6087.1652173913035,5793.69,4070.15,1572.2834782608695,480.0,181.7391304347826,23,NonAccrual
CONT102780,24729.66,22444.023125,19927.69,0.0,0.0,0.0,0.0,16,Active
CONT102781,8220.59,8220.59,8220.59,5104.24,2174.655652173913,596.0,248.04347826086956,23,NonAccrual
CONT102782,15458.69,13794.577857142856,12189.89,289.94,20.71,2.0,0.14285714285714285,14,Active
CONT102783,39590.83,34853.670000000006,0.0,0.0,0.0,0.0,0.0,15,Closed
CONT102784,6318.34,5148.1675000000005,3705.77,0.0,0.0,0.0,0.0,24,Active
CONT102785,5426.38,3609.821111111111,1554.16,0.0,0.0,0.0,0.0,18,Active
CONT102786,4875.45,4584.321578947369,4443.47,2840.02,1151.723157894737,398.0,145.52631578947367,19,NonAccrual
CONT102787,101062.6,95992.52727272728,90819.44,0.0,0.0,0.0,0.0,11,Active
CONT102788,36916.76,34931.263913043476,34143.75,14740.98,5677.71652173913,501.0,189.8695652173913,23,NonAccrual
CONT102789,6863.8,5586.546086956521,4113.13,195.8,8.51304347826087,21.0,0.9130434782608695,23,Active
CONT102790,4987.2,4031.307222222222,2849.92,419.84,44.404444444444444,47.0,4.388888888888889,18,Active
CONT102791,9822.56,9822.56,9822.56,0.0,0.0,0.0,0.0,1,Active
CONT102792,10056.48,7642.751666666667,7054.89,8758.62,2705.08625,481.0,156.29166666666666,24,NonAccrual
CONT102793,8626.33,7793.939285714286,6989.54,352.26,64.53999999999999,43.0,4.0,14,Active
CONT102794,12383.94,11377.891,10376.32,0.0,0.0,0.0,0.0,10,Active
CONT102795,40123.42,38807.53666666667,38473.18,9031.98,3068.5926666666664,305.0,103.46666666666667,15,NonAccrual
CONT102796,30468.75,29062.73875,27319.53,0.0,0.0,0.0,0.0,16,Active
CONT102797,7177.87,7051.446666666667,6922.7,0.0,0.0,0.0,0.0,6,Active
CONT102798,14790.25,13783.250714285716,12907.22,617.3,62.97571428571428,54.0,6.357142857142857,14,Active
CONT102799,74617.35,71351.94266666665,66980.63,4656.79,1020.1693333333334,95.0,17.333333333333332,15,NonAccrual
CONT102800,23220.3,20556.880666666668,17988.91,471.98,31.465333333333334,18.0,1.2,15,Active
CONT102801,2602.2,1446.944166666667,691.35,0.0,0.0,0.0,0.0,12,Active
CONT102802,9934.72,9514.276,9093.11,0.0,0.0,0.0,0.0,10,Active
CONT102803,3599.67,1977.1942105263158,0.0,0.0,0.0,0.0,0.0,19,Closed
CONT102804,59908.28,57298.037333333334,55772.12,0.0,0.0,0.0,0.0,15,Active
CONT102805,23417.89,21132.560555555552,18562.74,0.0,0.0,0.0,0.0,18,Active
CONT102806,8976.83,6094.776315789473,2626.87,286.75,20.230526315789472,26.0,2.6842105263157894,19,Active
CONT102807,37255.22,35775.839166666665,33687.69,3483.02,1025.0741666666665,124.0,26.75,12,NonAccrual
CONT102808,19969.43,18986.605333333333,17904.78,0.0,0.0,0.0,0.0,15,Active
CONT102809,18188.82,15561.154285714285,12231.0,0.0,0.0,0.0,0.0,21,Active
CONT102810,3808.37,3158.185238095238,2432.05,0.0,0.0,0.0,0.0,21,Active
CONT102811,23407.88,22294.66,21079.32,0.0,0.0,0.0,0.0,13,Active
CONT102812,9439.16,7042.1475,0.0,0.0,0.0,0.0,0.0,4,Closed
CONT102813,12091.63,10694.09608695652,9635.1,1730.43,284.29434782608695,172.0,28.347826086956523,23,NonAccrual
CONT102814,20506.31,17848.704999999998,14970.22,0.0,0.0,0.0,0.0,14,Active
CONT102815,6034.28,5180.288181818181,4778.55,2784.64,866.4986363636364,368.0,109.18181818181819,22,NonAccrual
CONT102816,15776.27,14254.990555555556,12527.03,0.0,0.0,0.0,0.0,18,Active
CONT102817,11088.32,9062.798947368421,6284.22,0.0,0.0,0.0,0.0,19,Active
CONT102818,19723.63,19723.63,19723.63,0.0,0.0,0.0,0.0,1,Active
CONT102819,119245.91,113378.80866666668,106922.09,0.0,0.0,0.0,0.0,15,Active
CONT102820,23050.04,20753.379375,11862.25,0.0,0.0,0.0,0.0,16,Active
CONT102821,7636.11,6970.526666666667,6058.73,211.91,23.54444444444444,28.0,1.6111111111111112,18,Active
CONT102822,2355.85,1219.2515384615385,0.0,0.0,0.0,0.0,0.0,13,Closed
CONT102823,12417.47,11783.072666666667,11087.74,0.0,0.0,0.0,0.0,15,Active
CONT102824,4987.2,4600.087142857143,4343.82,195.78,37.92,18.0,5.0,7,Active
CONT102825,2597.19,1990.2822222222223,1401.48,0.0,0.0,0.0,0.0,9,Active
CONT102826,12123.02,11508.591304347827,11401.45,6565.39,2553.4965217391305,551.0,212.04347826086956,23,NonAccrual
