Application_ID,CRB Score,CRB Grade
C302104146,607,D
C302109283,630,C
C302106189,713,A
C302100553,669,B
C302100553,660,B
C302108045,603,D
C302105560,650,B
C302105560,594,D
C302105522,250,E
C302106179,999,X
C302106179,649,B
C302104233,649,B
C302100600,250,E
C302100600,579,D
C302103754,681,B
C302105881,693,A
C302101237,645,C
C302108325,646,C
C302101509,633,C
C302107124,553,E
C302100282,629,C
C302100282,643,C
C302101170,588,D
C302104705,626,C
C302108127,665,B
C302102618,644,C
C302101795,999,X
C302101795,585,D
C302104534,578,D
C302100276,664,B
C302100276,622,C
C302105312,603,D
C302105754,609,D
C302105021,576,D
C302101898,613,C
C302104121,642,C
C302109417,999,X
C302108169,250,E
C302108420,648,B
C302107228,681,B
C302101217,603,D
C302101217,614,C
C302101217,591,D
C302107177,603,D
C302100734,250,E
C302104214,651,B
C302101768,705,A
C302105773,658,B
C302105053,543,E
C302104566,611,C
C302102946,639,C
C302104192,633,C
C302109483,999,X
C302107243,676,B
C302100415,686,A
C302104605,250,E
C302106530,541,E
C302101746,601,D
C302108098,658,B
C302104449,633,C
C302108105,674,B
C302108205,584,D
C302104143,630,C
C302104291,642,C
C302104255,628,C
C302108676,627,C
C302108521,674,B
C302105117,699,A
C302107898,654,B
C302107033,667,B
C302106205,669,B
C302106205,599,D
C302102697,590,D
C302101247,632,C
C302108969,618,C
C302108969,629,C
C302100439,250,E
C302102003,689,A
C302100401,250,E
C302101897,596,D
C302106204,999,X
C302104409,631,C
C302108469,559,E
C302108469,250,E
C302103703,569,D
C302104317,660,B
C302101249,611,C
C302103768,520,E
C302101439,250,E
C302103930,666,B
C302106798,639,C
C302106507,581,D
C302105284,558,E
C302103217,672,B
C302101346,684,A
C302101346,643,C
C302101926,701,A
C302103985,587,D
C302100185,556,E
C302104788,612,C
C302106069,250,E
C302106069,250,E
C302108827,250,E
C302109210,700,A
C302105829,579,D
C302100367,694,A
C302100367,652,B
C302100367,651,B
C302106974,658,B
C302106974,646,C
C302105557,657,B
C302105557,660,B
C302102530,667,B
C302105523,529,E
C302102208,692,A
C302101209,250,E
C302101209,632,C
C302100488,695,A
C302100488,668,B
C302106464,591,D
C302104809,250,E
C302103299,709,A
C302105815,662,B
C302100417,627,C
C302105311,637,C
C302102283,669,B
