Application_ID,Application_Date,Loan_Approval_Status,Age_at_Application,Marital_Status,Gender,Own_Rent_Home,Occupation_Professional_Category,Type_of_Business_Industry_of_Employment,Employment_Status,Time_at_Current_Employment_(Months),Number_of_Dependents,Loan_Purpose,Monthly_Income,Government_Employee,Marital_Status_Missing,Own_Rent_Home_Missing,Type_of_Business_Missing,Number_of_Dependents_Missing,Monthly_Income_Capped,Monthly_Income_Log,Employment_Time_Capped,Employment_Stability_Score,Age_Bin,Has_Dependents
C302103004,2018-02-05,Approved,34.0,Unmarried,Male,Family,Plant and Machine Operators an,Mining & Quarrying,Contract,41.0,0.0,Home Improvement,1827.17,False,0,0,0,0,1827.17,7.511070745501883,41.0,0,Emerging,0
C302103005,2018-02-02,Approved,28.0,Unmarried,Female,Family,Service and Sales Worker,Unknown,Full-Time,15.0,2.0,Home Improvement,1422.43,False,0,0,1,0,1422.43,7.260824730939261,15.0,0,Emerging,1
C302103006,2018-02-04,Approved,34.0,Unmarried,Female,Family,Clerical Support Worker,Professional & Other Services,Full-Time,66.0,3.0,Home Improvement,941.93,False,0,0,0,0,941.93,6.848992048701093,66.0,0,Emerging,1
C302103007,2018-02-06,Approved,25.0,Unmarried,Male,Rent,Service and Sales Worker,Manufacturing,Full-Time,23.0,1.0,Home Improvement,711.21,False,0,0,0,0,711.21,6.568372811744823,23.0,0,Emerging,1
C302103008,2018-02-07,Approved,32.0,Unmarried,Female,Rent,Officer,Other,Full-Time,84.0,0.0,Debt Consolidation,7974.77,False,0,0,0,0,7974.77,8.984163474716365,84.0,0,Emerging,0
C302103009,2018-01-29,Approved,28.0,Unmarried,Male,Family,Employee,Retailing,Full-Time,15.0,0.0,Home Improvement,914.42,False,0,0,0,0,914.42,6.8193829763531655,15.0,0,Emerging,0
C302103010,2018-02-08,Approved,33.0,Married,Male,Own,Semi-Professional,Manufacturing,Full-Time,184.0,2.0,Debt Consolidation,7796.01,False,0,0,0,0,7796.01,8.961495605853345,184.0,0,Emerging,1
C302103011,2018-01-18,Approved,21.0,Unmarried,Male,Family,Officer,Private Security Services,Contract,16.0,1.0,Other,1445.23,False,0,0,0,0,1445.23,7.276715449544505,16.0,0,Young,1
C302103012,2018-02-11,Approved,27.0,Unmarried,Male,Rent,Professional,Other,Full-Time,22.0,0.0,Other,6750.3,True,0,0,0,0,6750.3,8.817490357915595,22.0,0,Emerging,0
C302103013,2018-02-07,Approved,26.0,Unmarried,Female,Rent,Clerical Support Worker,Unknown,Contract,36.0,1.0,Home Improvement,1251.89,False,0,0,1,0,1251.89,7.133208161736695,36.0,0,Emerging,1
C302103014,2018-02-08,Approved,43.0,Married,Female,Rent,Semi-Professional,Civil Service,Full-Time,122.0,0.0,Other,1515.93,False,0,0,0,0,1515.93,7.324443834579198,122.0,0,Established,0
C302103015,2018-01-21,Approved,23.0,Married,Male,Family,Clerical Support Worker,Other,Contract,18.0,0.0,Other,1861.15,False,0,0,0,0,1861.15,7.529487013131552,18.0,0,Young,0
C302103016,2018-02-06,Approved,25.0,Unmarried,Male,Own,Blue Collar,Tourism,Full-Time,32.0,1.0,Home Improvement,1088.36,False,0,0,0,0,1088.36,6.993345646816319,32.0,0,Emerging,1
C302103017,2018-02-04,Approved,24.0,Married,Male,Rent,Technician and Associate Professional,Transportation & Communication,Contract,19.0,1.0,Other,3680.41,False,0,0,0,0,3680.41,8.21105110995284,19.0,0,Young,1
C302103018,2018-02-04,Approved,37.0,Unmarried,Male,Rent,Professional,Civil Service,Full-Time,46.0,0.0,Other,17942.95,False,0,0,0,0,17503.945400000015,9.770238714275076,46.0,0,Established,0
C302103019,2018-02-07,Approved,29.0,Unmarried,Female,Family,Clerical Support Worker,Professional & Other Services,Full-Time,14.0,2.0,Home Improvement,1406.8,False,0,0,0,0,1406.8,7.249783481174031,14.0,0,Emerging,1
C302103020,2018-01-31,Approved,23.0,Unmarried,Male,Family,Service and Sales Worker,Business Process Outsourcing,Full-Time,36.0,0.0,Other,1581.37,False,0,0,0,0,1581.37,7.366679002144748,36.0,0,Young,0
C302103021,2018-01-04,Approved,25.0,Unmarried,Female,Rent,Officer,Civil Service,Full-Time,25.0,0.0,Debt Consolidation,4013.95,True,0,0,0,0,4013.95,8.297780173003193,25.0,0,Emerging,0
C302103022,2018-01-25,Approved,55.0,Unmarried,Male,Rent,Service and Sales Worker,Transportation & Communication,Full-Time,20.0,0.0,Debt Consolidation,1431.26,True,0,0,0,0,1431.26,7.267008895285608,20.0,0,Senior,0
C302103023,2018-01-10,Approved,30.0,Married,Male,Family,Professional,Unknown,Full-Time,52.0,0.0,Debt Consolidation,3132.02,False,0,0,1,0,3132.02,8.049752674589651,52.0,0,Emerging,0
C302103024,2018-02-05,Approved,28.0,Unmarried,Female,Family,Service and Sales Worker,Business Process Outsourcing,Full-Time,23.0,1.0,Debt Consolidation,2144.47,False,0,0,0,0,2144.47,7.671113921579217,23.0,0,Emerging,1
C302103025,2018-01-11,Approved,30.0,Unmarried,Male,Other,Clerical Support Worker,Civil Service,Contract,11.0,0.0,Other,1431.26,False,0,0,0,0,1431.26,7.267008895285608,11.0,0,Emerging,0
C302103026,2018-02-07,Approved,39.0,Unmarried,Female,Family,Semi-Professional,Manufacturing,Full-Time,90.0,4.0,Debt Consolidation,1902.42,False,0,0,0,0,1902.42,7.551407547095911,90.0,0,Established,1
C302103027,2018-02-04,Approved,26.0,Unmarried,Female,Rent,Employee,Education,Full-Time,53.0,0.0,Education,2233.45,True,0,0,0,0,2233.45,7.711750391752599,53.0,0,Emerging,0
C302103028,2018-02-12,Approved,25.0,Unmarried,Male,Family,Officer,Transportation & Communication,Unknown,59.0,0.0,Medical,1239.53,False,0,0,0,0,1239.53,7.1232939866362885,59.0,0,Emerging,0
C302103029,2018-02-14,Approved,48.0,Unmarried,Female,Rent,Officer,Civil Service,Full-Time,89.0,0.0,Home Improvement,1690.98,True,0,0,0,0,1690.98,7.433654719765339,89.0,0,Established,0
C302103030,2018-02-07,Approved,23.0,Unmarried,Female,Family,Employee,Other,Contract,52.0,0.0,Other,1241.01,False,0,0,0,0,1241.01,7.1244863139908015,52.0,0,Young,0
C302103031,2018-02-11,Approved,31.0,Unmarried,Male,Family,Armed Forces Occupation,Civil Service,Full-Time,61.0,1.0,Other,2893.77,True,0,0,0,0,2893.77,7.970660939528019,61.0,0,Emerging,1
